T,D,L,count,quality,cost,model_name
T1,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D2,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D2,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D8,L2,1.0,0.88,0.0019131750000000002,gpt-oss-120b
T1,D8,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D9,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D9,L2,0.5,0.485,0.0007283925,gpt-oss-120b
T1,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T1,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T1,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T1,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D1,L2,0.0,0.0,0.0,gpt-oss-120b
T2,D1,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D2,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D2,L2,9.5,7.965,0.00943767,gpt-oss-120b
T2,D2,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T2,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D4,L2,0.0,0.0,0.0,gpt-oss-120b
T2,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T2,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T2,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D7,L1,0.5,0.255,0.000457215,gpt-oss-120b
T2,D7,L2,1.5,1.285,0.001695705,gpt-oss-120b
T2,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D8,L1,1.5,0.905,0.001115235,gpt-oss-120b
T2,D8,L2,12.0,9.879999999999999,0.01253967,gpt-oss-120b
T2,D8,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D9,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D9,L2,4.0,3.14,0.002144835,gpt-oss-120b
T2,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T2,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T2,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T2,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D1,L1,12.083333333333332,11.788333333333332,0.005443570000000001,gpt-oss-120b
T3,D1,L2,18.583333333333332,17.540000000000006,0.01198571,gpt-oss-120b
T3,D1,L3,0.3333333333333333,0.29,0.000566115,gpt-oss-120b
T3,D2,L1,13.583333333333332,12.85833333333333,0.007143482500000001,gpt-oss-120b
T3,D2,L2,22.083333333333332,20.464999999999996,0.015521412500000002,gpt-oss-120b
T3,D2,L3,0.3333333333333333,0.29,0.000566115,gpt-oss-120b
T3,D3,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D3,L2,0.0,0.0,0.0,gpt-oss-120b
T3,D3,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D4,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D4,L2,0.5,0.485,0.00023867250000000003,gpt-oss-120b
T3,D4,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D5,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D5,L2,0.0,0.0,0.0,gpt-oss-120b
T3,D5,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D6,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D6,L2,0.0,0.0,0.0,gpt-oss-120b
T3,D6,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D7,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D7,L2,0.0,0.0,0.0,gpt-oss-120b
T3,D7,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D8,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D8,L2,1.0,0.88,0.0005134800000000001,gpt-oss-120b
T3,D8,L3,0.3333333333333333,0.29,0.000566115,gpt-oss-120b
T3,D9,L1,0.8333333333333333,0.7933333333333333,0.0004184125,gpt-oss-120b
T3,D9,L2,0.3333333333333333,0.31,0.00042614,gpt-oss-120b
T3,D9,L3,0.0,0.0,0.0,gpt-oss-120b
T3,D10,L1,0.0,0.0,0.0,gpt-oss-120b
T3,D10,L2,0.0,0.0,0.0,gpt-oss-120b
T3,D10,L3,0.0,0.0,0.0,gpt-oss-120b
T4,D1,L1,0.0,0.0,0.0,gpt-oss-120b
T4,D1,L2,0.0,0.0,0.0,gpt-oss-120b
